Reef_ID,Nick_ID,Lat,Long,Unique_ID,Label.ID,GBR.Name,OldReefName,Area_desc,Shelf.position,AIMS_Sector,GreenZone,Ref.Area.km2,Geom.total.km2,Geom.CH.km2,Ungrazable
882,608,-16.9985,146.211,17001104104,17-001d,Sudbury Reef (No 4),Sudbury Reef (No 4) (17-001d),Cairns/Cooktown,2,5,0,0.204898879,1.121893882,0.613533671,0.217726923
883,604,-17.0124,146.1287,17002101104,17-002a,Stagg Patches (North),Stagg Patches (North) (17-002a),Cairns/Cooktown,2,5,0,0.361753297,1.421693062,0.444103429,0.228214562
884,604,-17.0205,146.1312,17002102104,17-002b,Stagg Patches (South),Stagg Patches (South) (17-002b),Cairns/Cooktown,2,5,0,0.204555683,1.023422281,0.086843584,0.228214562
885,606,-16.999,146.4559,17003101104,17-003a,Hervey Shoals (North),Hervey Shoals (North) (17-003a),Cairns/Cooktown,3,5,0,9.038633067,1.630487006,0.806947897,0.292999814
886,606,-17.0374,146.4614,17003102104,17-003b,Hervey Shoals (South),Hervey Shoals (South) (17-003b),Cairns/Cooktown,3,5,1,6.983797756,3.143570837,1.636945598,0.292999814
887,610,-17.0736,146.185,17004100104,17-004,Scott Reef,Scott Reef (17-004),Cairns/Cooktown,2,5,1,19.41943639,34.072341,14.31857774,0.234994678
888,640,-17.7385,146.502,17060100104,17-060,U/N Reef,U/N Reef (17-060),Cairns/Cooktown,2,5,0,2.442453477,6.694100886,3.2159182,0.299927406
889,640,-17.7504,146.5084,17061100104,17-061,U/N Reef,U/N Reef (17-061),Cairns/Cooktown,2,5,0,5.279507096,14.8126247,7.241245776,0.235844246
890,645,-17.7795,146.6506,17062100104,17-062,Noreaster Reef,Noreaster Reef (17-062),Cairns/Cooktown,3,5,0,44.82761558,28.65462667,19.65919486,0.298279841
891,643,-17.7909,146.5169,17063101104,17-063a,Farquharson Reef (No 1),Farquharson Reef (No 1) (17-063a),Cairns/Cooktown,2,5,0,22.9465181,36.60968773,12.7405956,0.260647948
892,643,-17.7564,146.5424,17063102104,17-063b,Farquharson Reef (No 2),Farquharson Reef (No 2) (17-063b),Cairns/Cooktown,2,5,0,0.487638996,0.571912911,0.014242589,0.23225842
893,530,-15.8728,145.5744,15093100104,15-093,Pickersgill Reef,Pickersgill Reef (15-093),Cairns/Cooktown,2,4,0,18.82470992,38.30193601,27.15913287,0.303716748
894,531,-15.8772,145.7963,15094100104,15-094,Escape Reef,Escape Reef (15-094),Cairns/Cooktown,3,4,0,26.95174517,27.71439432,16.12243449,0.294746579
895,532,-15.9052,145.6568,15095100104,15-095,Evening Reef,Evening Reef (15-095),Cairns/Cooktown,2,4,0,9.106131637,18.98315127,9.865407844,0.239037697
896,534,-15.9499,145.8208,15096100104,15-096,Agincourt Reefs (No 4),Agincourt Reefs (No 4) (15-096),Cairns/Cooktown,3,4,1,12.90509408,22.63291029,14.06509264,0.322445329
897,602,-16.9338,146.0017,16054107104,16-054g,U/N Reef,U/N Reef (16-054g),Cairns/Cooktown,1,4,0,0.046355583,0.312040656,0.002974205,0.267190287
898,602,-16.923,146.0059,16055100104,16-055,Little Fitzroy Island Reef,Little Fitzroy Island Reef (16-055),Cairns/Cooktown,1,4,0,0.104733875,0.618599132,0.127438107,0.263837962
899,613,-17.0989,146.4105,17005100104,17-005,Stevens Reef,Stevens Reef (17-005),Cairns/Cooktown,2,5,1,2.394421485,7.155424581,4.632185673,0.219428255
900,613,-17.0943,146.3447,17006100104,17-006,Maori Reef,Maori Reef (17-006),Cairns/Cooktown,2,5,0,33.69532372,32.71519582,11.69565203,0.244712765
901,613,-17.1212,146.4213,17007100104,17-007,U/N Reef,U/N Reef (17-007),Cairns/Cooktown,2,5,1,0.566210561,0.894863463,0.009728914,0.237745423
902,618,-17.1263,146.4686,17008100104,17-008,Noggin Reef,Noggin Reef (17-008),Cairns/Cooktown,3,5,0,12.43414234,17.75087082,10.37700299,0.28917693
903,650,-17.8329,146.5495,17064100104,17-064,Taylor Reef,Taylor Reef (17-064),Cairns/Cooktown,2,5,1,17.9530705,31.38892805,15.79127495,0.250497924
904,656,-17.8764,146.7271,17065100104,17-065,Bob Endean Reef,U/N Reef (17-065),Townsville/Whitsunday,2,5,0,18.60863797,20.34858935,12.79520502,0.222208446
905,655,-17.8885,146.5863,17066100104,17-066,Yamacutta Reef,Yamacutta Reef (17-066),Townsville/Whitsunday,2,5,0,62.60076472,67.94749977,22.40423968,0.251555241
906,660,-17.9694,146.6004,17067100104,17-067,U/N Reef,U/N Reef (17-067),Townsville/Whitsunday,2,5,0,7.176603049,12.71209593,6.784075467,0.219874135
907,536,-15.9755,145.6651,15098100104,15-098,Morning Reef,Morning Reef (15-098),Cairns/Cooktown,2,4,0,14.00500959,9.976957295,5.100300118,0.219465658
908,538,-15.9898,145.8322,15099101104,15-099a,Agincourt Reefs (No 3),Agincourt Reefs (No 3) (15-099a),Cairns/Cooktown,3,4,1,7.783654516,15.5916324,10.99069196,0.303301825
909,538,-16.0178,145.8509,15099102104,15-099b,Agincourt Reefs (No 2a),Agincourt Reefs (No 2a) (15-099b),Cairns/Cooktown,3,4,1,1.41099311,4.263485019,3.237527369,0.288953703
910,540,-16.052,145.8674,15099103104,15-099c,Agincourt Reefs (No 1),Agincourt Reefs (No 1) (15-099c),Cairns/Cooktown,3,4,1,2.153602006,5.881787106,4.862625945,0.288080433
911,538,-16.0352,145.8352,15099104104,15-099d,Agincourt Reefs (No 5),Agincourt Reefs (No 5) (15-099d),Cairns/Cooktown,3,4,1,2.926958622,4.541163833,3.230676274,0.298025397
912,538,-16.0301,145.8584,15099105104,15-099e,Agincourt Reefs (No 2b),Agincourt Reefs (No 2b) (15-099e),Cairns/Cooktown,3,4,1,1.08774988,3.123609735,2.350786307,0.287940244
913,512,-15.4466,145.6928,15800100104,15-800,U/N Reef,U/N Reef (15-800),Cairns/Cooktown,2,3,0,0.095379248,0.357722867,0.143423277,0.228790258
914,516,-15.5179,145.6556,15801100104,15-801,U/N Reef,U/N Reef (15-801),Cairns/Cooktown,2,3,0,0.167597481,0.2935506,0.115301804,0.23225842
915,537,-16.0287,145.4573,16001100104,16-001,U/N Reef,U/N Reef (16-001),Cairns/Cooktown,1,4,1,1.508544573,4.910651575,4.129845276,0.273551521
916,601,-16.9817,145.9019,16056100104,16-056,U/N Reef,U/N Reef (16-056),Cairns/Cooktown,1,4,0,0.060370689,0.406755154,0.252835315,0.260713864
917,578,-16.5184,146.0081,16057100104,16-057,Hastings Reef,Hastings Reef (16-057),Cairns/Cooktown,2,4,1,14.79933358,21.04571137,11.54498468,0.225558797
918,614,-17.1579,146.0102,17009101104,17-009a,Tobias Spit,Tobias Spit (17-009a),Cairns/Cooktown,1,5,0,0.983099501,2.640566388,1.411418452,0.266415769
919,656,-17.9456,146.7947,17068100104,17-068,Moss Reef,Moss Reef (17-068),Townsville/Whitsunday,3,5,1,6.962377709,11.52302907,9.9413005,0.290912613
920,664,-17.9949,146.7686,17069100104,17-069,Peter Arnold Reef,U/N Reef (17-069),Townsville/Whitsunday,3,5,1,8.737492975,10.8887363,7.806314145,0.297215219
