"Reef.Number","OldReefName","Year","Coral.Cover","Method","Lat","Long","Mean","CoverLower_estimate","CoverUpper_estimate","Range"
2397,"Square Reef (20-105)",2014,16.53207,"Reefmod",NA,NA,62.6229927474993,59.6645785101835,66.9153664601933,7.25078795000978
2398,"Peta Patches (No 1) (20-106a)",2014,19.20183,"Reefmod",NA,NA,67.2344315825629,64.8825922580009,70.1552735655492,5.27268130754834
2399,"Peta Patches (No 2) (20-106b)",2014,14.93473,"Reefmod",NA,NA,66.3467903283536,62.5298395187212,71.0971949395939,8.56735542087272
2400,"Peta Patches (No 3) (20-106c)",2014,17.48092,"Reefmod",NA,NA,65.6238989098806,61.9938080019739,72.3604972532277,10.3666892512538
2401,"Peta Patches (No 4) (20-106d)",2014,18.8339,"Reefmod",NA,NA,66.6973268547726,53.8352505091612,74.8788715708868,21.0436210617256
2402,"U/N Reef (20-107)",2014,16.78324,"Reefmod",NA,NA,65.0731232203585,59.2272708407622,69.4718227788893,10.2445519381271
2403,"U/N Reef (20-108)",2014,14.90749,"Reefmod",NA,NA,60.2327888539647,56.1383878662583,68.582996979242,12.4446091129837
2404,"U/N Reef (20-109)",2014,18.17587,"Reefmod",NA,NA,66.9000993276664,60.0881003280175,74.9961257474515,14.908025419434
2405,"U/N Reef (20-190)",2014,5.165437,"Reefmod",NA,NA,55.8255452619865,43.9582508714117,66.7091000876437,22.750849216232
2406,"U/N Reef (20-191)",2014,6.445754,"Reefmod",NA,NA,54.2173858046895,46.6272213115269,61.2844061654188,14.6571848538919
2407,"20-192",2025,20.37029176,"Census",-20.3978,150.583,20.37029176,20.37029176,20.37029176,0
2408,"U/N Reef (20-193)",2014,3.93928,"Reefmod",NA,NA,61.4441943393306,53.2526688045744,69.2092434236789,15.9565746191045
2409,"U/N Reef (20-194a)",2014,3.928779,"Reefmod",NA,NA,62.1757324444522,57.6641926026282,68.6639030835671,10.9997104809389
2410,"U/N Reef (20-194b)",2014,3.300618,"Reefmod",NA,NA,53.4622017717221,45.1415497239588,64.0469268300828,18.905377106124
2411,"Goldsmith Island Reef (No 3) (20-237c)",2014,21.89462,"Reefmod",NA,NA,60.7063639197923,53.8375914286202,68.9268559339835,15.0892645053633
2412,"Goldsmith Island Reef (No 4) (20-237d)",2014,23.42813,"Reefmod",NA,NA,55.6542246890959,44.4070389663531,62.8101484629671,18.403109496614
2413,"Goldsmith Island Reef (No 5) (20-237e)",2014,25.91289,"Reefmod",NA,NA,67.1369112637415,62.3217893252176,73.1291949880738,10.8074056628562
2414,"Goldsmith Island Reef (No 6) (20-237f)",2014,28.07385,"Reefmod",NA,NA,55.1759539484384,49.7699358469565,61.8072192155986,12.0372833686421
2415,"U/N Reef (20-237g)",2014,23.33427,"Reefmod",NA,NA,58.9744902632439,51.0918571213378,71.0606926173954,19.9688354960576
2416,"Derwent Reef (20-292)",2014,20.19785,"Reefmod",NA,NA,50.6433485680708,42.3908948703211,57.8492071952205,15.4583123248995
2417,"Skull Rock Reef (20-293)",2014,20.53344,"Reefmod",NA,NA,64.2503310884424,57.8591605369176,72.5402359156592,14.6810753787416
2418,"(Little) Stevens Reef (20-294)",2023,19.5,"RJFMP",NA,NA,34.263124733934,29.4308343543844,38.7750500448094,9.344215690425
2419,"U/N Reef (20-110)",2014,17.24886,"Reefmod",NA,NA,59.8834292563688,55.5707024367922,66.0280634510447,10.4573610142525
2420,"Edgell Reefs (No 2) (20-111)",2014,15.34059,"Reefmod",NA,NA,66.0134031825119,59.7359698174868,71.4985378670794,11.7625680495927
2421,"Edgell Reefs (No 5) (20-112)",2014,13.56068,"Reefmod",NA,NA,68.0432399583569,64.7896280349772,72.4475435879986,7.65791555302148
2422,"Ben Reef (20-113)",2023,45.804,"Manta",NA,NA,57.0890447820266,50.7839712946829,63.9238805722928,13.1399092776099
2423,"U/N Reef (20-114)",2014,15.13985,"Reefmod",NA,NA,55.5152192494775,44.3502890067406,65.1391427424556,20.7888537357151
2424,"U/N Reef (20-194c)",2014,3.531375,"Reefmod",NA,NA,61.9179619940816,57.302606758967,70.1103664018831,12.8077596429161
2425,"U/N Reef (20-195)",2014,6.203415,"Reefmod",NA,NA,60.2590676698347,46.0038774498296,72.9991621428171,26.9952846929874
2426,"U/N Reef (20-196)",2014,7.363185,"Reefmod",NA,NA,61.2864824265088,52.6445971142331,69.2343935137123,16.5897963994792
2427,"20-197",2023,50,"Census",-20.4467,150.7262,50.9969806321063,33.9957290917958,62.7882492561778,28.7925201643819
2428,"U/N Reef (20-511)",2014,6.61745,"Reefmod",NA,NA,63.7786661593246,52.8129832288325,73.3594255726999,20.5464423438674
2429,"Silversmith Reef (20-238)",2014,9.228272,"Reefmod",NA,NA,54.4315933274224,46.8484536829909,61.0015383516513,14.1530846686604
2430,"Pincer Reef (20-239)",2014,19.98684,"Reefmod",NA,NA,60.0698315134377,47.7622307439664,69.8799414214257,22.1177106774593
2431,"Teague Reef",2022,0,"Census",-20.3035,149.0689,5.67964853567723,3.38713588237761,6.66224693503753,3.27511105265991
2432,"Surprise Rock Reef (20-083)",2014,3.536732,"Reefmod",NA,NA,42.2930874481901,36.1036824863612,51.6761459232185,15.5724634368573
2433,"Little Bugatti (Wheatley) Reef",2022,3,"Census",-20.0264,150.243,9.76988725719042,6.75187910835073,12.2996550759841,5.54777596763336
2434,"Edgell Reefs (No 1) (20-116)",2014,16.77304,"Reefmod",NA,NA,66.3697913015096,61.1740546147549,71.4995391873539,10.325484572599
2435,"Edgell Reefs (No 3) (20-117)",2014,15.95745,"Reefmod",NA,NA,65.8533128543003,56.2227471647542,74.5867962368341,18.3640490720799
2436,"U/N Reef (20-118)",2014,11.84107,"Reefmod",NA,NA,58.2760541248923,40.4810822057661,72.337020564976,31.8559383592099
2437,"U/N Reef",2020,5,"Census",-20.0867,150.4166,34.1048004518868,30.213115934331,39.0736321094688,8.86051617513782
2438,"Wup Reef (20-120)",2014,19.43116,"Reefmod",NA,NA,68.0431622329815,64.578492469722,71.742578650118,7.16408618039601
2439,"U/N Reef (20-121)",2014,5.693323,"Reefmod",NA,NA,52.9702938198252,33.1275929698147,64.89974415199,31.7721511821753
2440,"U/N Reef (20-122)",2014,13.18519,"Reefmod",NA,NA,53.5508173096866,36.2104833016225,67.7907011191226,31.5802178175002
2441,"U/N Reef (20-199)",2014,6.28273,"Reefmod",NA,NA,53.3742929966999,39.1877151280002,64.9315496294762,25.743834501476
